skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
SumTeeth	540				8													teeth																																																																												necromancer_bone_cast														19	17						teeth	teeth	bonecast										1	1		none												SC	SC	xx																				1							necromancer_bone_cast			1	20														1	1					1	7	6	1	1	1										"min(ln12,24)+stat('ex_missiles'.accr)"	# of Missiles created	par3	Missile Activation Frame	"min(ln12/3,8)"	# of missiles that can trigger item modifier events							2	# of Missiles created baseline	1	# of Missiles created per level	0	Missile Activation Frame									15	Damage synergy									1								7															mag	4	2	2	3	4	5	8	2	3	4	5	6	((((skill('Bone Prison'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl))*par8))						5		5	20	0
SumBonePrison	541			19	104																																																																								boneprison1	none		NU														necromancer_bone_cast														22																			1	10		none												SC	SC	xx					4			1												1					1		necromancer_bone_cast			12	5												"max((((275-blvl*50)*(100-stat('item_cooldownreduction'.accr)))/100),10)"		1	1					5	8	20	-1	1	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl))*par8)	HP % Modifier											25	HP % per level	250	Duration											8	HP % synergy									1								8																																		5		5	20	0
SumBlessedHammer	542				73													blessedhammerx																																																																																											35						blessedhammerx												1	2		none												SC	SC	xx																				1										12	20								1						1	1					1	6	20	1	1	1										par1	Damage % from Concentration (in 8ths)											8	Damage % from Concentration (in 8ths)													14	Damage synergy									1								7		12	8	10	12	13	14	16	8	10	12	13	14	(skill('Without Hesitation'.blvl)+skill('Judge Not'.blvl))*par8	mag	12	8	10	12	13	14	16	8	10	12	13	14	(((skill('Without Hesitation'.blvl)+skill('Judge Not'.blvl))*par8)*(100+stat(357.accr)))/100						4		5	20	0
SumShieldToss	543			28	26													shieldtoss_sum	shieldtoss_sum	shieldtoss_sum				slowmiss		50	(lvl>=20)?par2:par1	toblock	-50																																																																	paladin_holyshield															27						shieldtoss_sum	shieldtoss_sum	shieldtoss_sum										1	2		none	4	shld										SQ	A1	xx	12			1																										24	20								2	holyshield					1	1					1	7	10	1	1	1										(lvl<5)?3:((lvl<10)?5:7)+min(stat('ex_missiles'.accr),3)+(skill('Shield Glare'.blvl)==10)?2:0	# of target jump hits											10	Radius of jump to next target	15	Radius of jump to next target at max level	15	Damage Per level	15	Damage Per level							4	Damage synergy									1				1		131		8	128	1						1						(stat('smite'.accr)+stat('hsbonus'.accr)+stat('item_normaldamage'.accr))*(101+((skill('Smite'.blvl)+skill('Zeal'.blvl))*par8)+ln34+stat('strength'.accr))																				5		5	20	0
SumHolyShield	544			36	18																			holyshield		ln12*(100+(stat('buff_length_modifier'.accr)))/100		toblock	(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)+skill('Thorns'.blvl)		ln34+skill('Vengeance'.blvl)*par8	hsbonus	lvl*4																																																													paladin_holyshield																																	1	3		none		shld										SC	SC	xx															1															1	20								1				"max((((500)*(100-stat('item_cooldownreduction'.accr)))/100),10)"		1	1					1	7	30	1	1	1										ln34+skill('Vengeance'.blvl)*par8	Armor %											500	Duration baseline	200	Duration per level	25	Armor % baseline	15	Armor % per level	10	Block % chance Min	35	Block % chance Max			15	Armor synergy									1								8		4	4	4	4	4	4	4	4	4	4	4	4																					1		5	20	0
SumZeal	545			37	13																																																																																								1	paladin_zeal														53	21																		1	2		h2h		mele										A1	A1	SQ						1	1								1															1	20								1						1	1					1	8	15	0		1										"min((par5 + lvl -1), par6)+stat('ex_attacks'.accr)"	# of hits	ln34+(skill('Smite'.blvl)+skill('Confrontation'.blvl))*par8	Damage %			skill('Holy Bolt'.blvl)*par7	% Damage Dealt as Elemental (Used only if there is an Etype)							50	% Anim frame rollback	0	Damage % baseline	15	Damage % per level	2	# of hits Min	5	# of hits Max	5	Holt Bolt Elemental Converstion	12	Damage synergy									1	10	10		8193				8	128														mag																			4		5	20	0
SumVigor	546				65																		73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56																																																																																													1	1	1		none														xx																														1															0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	3	Radius per level	50	Stamina % baseline	25	Stamina % per level	7	Velocity % Min	50	Velocity % Max													1								8																																		6		0	0	0
SumWhirlwind	547			38	76	1																		whirlwind				velocitypercent	"-20"																																																																1	barbarian_whirlwind														31	45	1																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1															18	20														1	1					1	6	20	1		1										ln12+(skill('Battle Tested'.blvl)+skill('War Stance'.blvl))*par8	Damage %											0	Damage % baseline	10	Damage % per level	5	Velocity Percent Baseline	1	Velocity Per Level							5	Damage Synergy									1	30	5						8	128																																	10		5	20	0
SumGroundRender	548			32	2										renderstart																																																																																barbarian_grunt_small_1	1																		renderstart													1	7		h2h		mele										A1	A1	xx				1		1	1								1															6	20														1	1					1	8	0	0	1	1										ln12	Damage %	0	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					50	Damage % baseline	5	Damage % per level	0	Flat Damage baseline	0	Flat Damage per level							6	Damage Synergy									1	100	15						8	128														stun														25	10	10	10		11		5	20	0
SumShout	549				68													shout						shout	shout	(ln34+skill('War Stance'.blvl)*par8)*(100+(stat('buff_length_modifier'.accr)))/100		skill_armor_percent	(blvl<2)?par1:(par1+(blvl-1)*par2)	damageresist	(lvl>=10)?10:0																																																																barbarian_shout_1														25						shout				0	Missile Velocity Adder							1	8		none												SC	SC	SC				1																1										1	10								1	madawc					1	1					1	8	6	0	1	1																						100	Armor % baseline	15	Armor % per level	500	Duration baseline	250	Duration per level							125	Duration synergy									1								8																																		1		5	20	0
SumLeap	550			40	77													leapknockback									dm12																																																																		1		barbarian_leap_1													29	43																		1	0		none												SQ	A1	xx	13		1		4																									6	10														1	1					1	8	6	0	1	1										min(ln34,20)	Knockback Radius	dm78	Leap Speed %									4	Range Min	30	Range Max	4	Knockback Radius baseline	2	Knockback Radius per level					75	Leap Speed	100	Leap Speed %									1								8																																		13		5	20	0
SumBattleTested	551				18																			battletested		ln78*(100+(stat('buff_length_modifier'.accr)))/100		mana_per_gethit	(lvl<2)?3:((lvl>=10)?(min(ln12/2,25)):(3+(lvl-1)/2))	life_per_hit	(lvl<2)?2:((lvl>=10)?(min(ln34/2,25)):(2+(lvl-1)/2))	item_openwounds	(lvl>=10)?((stat('strength'.accr)==stat('dexterity'.accr))?15:((stat('strength'.accr)<stat('dexterity'.accr))?20:0)):0	item_slow	(lvl>=10)?((stat('strength'.accr)==stat('dexterity'.accr))?15:((stat('strength'.accr)>stat('dexterity'.accr))?20:0)):0	item_maxmana_percent	"min(ln56,50)"																																																										druidwerebear_attack_hd1																																1	0		none												SC	SC	xx																														12	10								1	madawc					1	1					1	8	25	0	1	1																						6	Mana When struck	1	Mana Gained Per 2 levels	4	Life gained on hit	1	Life Per Hit Per 2 Levels	10	Max Mana Lost	2	Max Mana Lost per level	150	Duration Base	25	Duration per level									1								8																																		1		5	20	0
SumHurricane	552		hurricane		124																		42883	hurricane		((((lvl<10)?10:((lvl<20)?15:20))+((blvl==20)?10:0))*25)*(100+(stat('buff_length_modifier'.accr)))/100	"(min(par3+lvl/5,8)"																																																																			druid_windcast										druid_hurricane											hurricaneswoosh	hurricanerock	hurricanetree		3	# of Debris Missiles created	75	Debris Missile Max Height					1	0		none												SC	A1	xx				1																										30	20					Werebear			2	bear			"max((((150)*(100-stat('item_cooldownreduction'.accr)))/100),10)"		1	1					1	8	30	1	1	1																						75	Duration baseline	25	Duration per level	6	Radius	10	Periodic Damage Delay																	1				5	12			8	8														cold	25	7	10	12	14	16	50	7	10	12	14	16		50							5	20	0
SumLandslide	553				8													landslidex	landslidex								par1																																																																			druid_firecast_b															17						landslidex	landslidex											1	0		none												SC	SC	xx				1																										24	20												50		1	1					1	8	1	0	1	1										3	# of Missiles created	0	Missile Activation Frame	3	# of missiles that can trigger item modifier events							3	Explosion Radius																							1								8	32	15	8	14	20	26	32	24	10	16	22	28	34																					5		5	20	0
SumCycloneArmor	554				18																			cyclonearmor				bonearmor	ln12*256	bonearmormax	ln12*256	item_fastermovevelocity	"min(ln12,par3)"							absorbdamage	25																																																					druid_cyclonearmor																																	1	0		none												SC	SC	xx				1																1										6	20												"max((((50+lvl*5)*(100-stat('item_cooldownreduction'.accr)))/100),50)"		1	1					1	8	5	1	1	1																						40	Elemental Damage Absorbed baseline	24	Elemental Damage Absorbed per level	5	Faster Run Walk baseline	2	Faster Run Walk per level	30	Faster Run Walk Max															1								8																																		1		5	20	0
SumVolcano	555				123													volcano									par1																																																																			druid_firecast_a											druid_fire_cast_2						91				volcano overlay fire	volcano											1	0		none												SC	A1	xx				1	4				1											1							sorceress_cast_fire	druid_fire_cast_2		24	20					Werewolf			2	wolf			"max((((100)*(100-stat('item_cooldownreduction'.accr)))/100),10)"		1	1					1	8	25	0	1	1																par2-blvl/par3	Delay between Missiles created					8	Missile Range	6	Delay between Missiles created	5	Missile Delay Scale Divisor																			1								8	13	10	6	8	12	16	20	15	4	8	12	16	20		fire	8	4	6	8	10	12	10	4	6	8	10	15							5		5	20	0
SumRootCause	556														rootx																																																																															amazon_cast_poison																				rootx													1	2		rng												SC	SC	xx				1													1													1	20														1	1									1	1																"min(ln12,50)"	Stun Duration					10	Min Stun length	5	Stun Length per level																					1								8	64	3	1	3	5	9	12	6	2	5	7	11	15																					5		5	20	0
SumWakeofFire	557				45																																																																								wakeofdestruction	assassintrap	5	S1	Wake Of Destruction Sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)					32			assassin_summon																																	1	0		rng												S2	S2	S2				1	4																									1	20														1	1					1	8	13	0	1	1																						5	# of shots (must match Wake of Destruction Sentry Param8)													8	Damage synergy									1								8															fire	5	2	3	5	7	9	10	2	3	6	8	10	(skill('Fire Blast'.blvl) + skill('Inferno Sentry'.blvl)) * par8						3		5	20	0
SumDragonFlight	558			12	52																						par7																																																																		1	sorceress_teleport							dragonflight							5																	1		1	0		rng	4											SQ	A1	xx	21							1							1															1	20												25		1	1		1			1	8	15	0	1	1				1	0	3				ln12	Damage %											100	Damage % baseline	25	Damage % per level									38	Range	0	Always Hit (0 = disabled | 1 = enabled only when Charges are consumed)									1	60	25					1	8																																		4		5	20	0
SumBladeShield	559			28	54													blade shield attachment					33667	bladeshield		ln12*(100+(stat('buff_length_modifier'.accr)))/100	par4																																																																			assassin_bladeshield																																	1	0		none												SC	SC	SC				1																										1	20														1	1					1	8	27	2	1	1		1	par3																			500	Duration	125	Duration per level	25	Periodic Damage Delay	6	Radius																	1				32		3		8	32	1	5	6	7	7	7	30	5	6	7	7	7																					1		5	20	0
SumCobraStrike	560			23	34									2										progressive_steal		par3*(100+(stat('buff_length_modifier'.accr)))/100		progressive_steal		progressive_tohit	par4																																																																								cobrastrike1	assassin_chargeup_cobra_1							13	13	13														1	0		h2h		mele										A1	A1	A2				1		1	1								1															1	20														1	1					1	8	2	0	1	1								1		ln12	Lifesteal %											40	Lifesteal % baseline	5	Lifesteal % per level	375	Duration	50	Attack Rating % per Charge																	1	15	7						8	128																																	4		5	20	0
SumQuickness	561				18																			quickness		ln56*(100+(stat('buff_length_modifier'.accr)))/100		velocitypercent	dm12	attackrate	dm34																																																															assassin_quickness																																	1	0		none												SC	SC	SC				1																										1	20														1	1					1	8	10	0	1	1																						15	Velocity % Min	70	Velocity % Max	15	Attack Speed % Min	60	Attack Speed % Max	3000	Duration baseline	300	Duration per level													1								8																																		1		5	20	0
AmaSummon2	562		amadesc2		49																			amastate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										amamon2	amasum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
SorSummon2	563		sordesc2		49																			sorstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										sormon2	sorsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
NecSummon2	564		necdesc2		49																			necstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										necmon2	necsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
PalSummon2	565		paldesc2		49																			palstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										palmon2	palsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
BarSummon2	566		bardesc2		49																			barstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										barmon2	barsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
DruSummon2	567		drudesc2		49																			drustate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										drumon2	drusum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AssSummon2	568		assdesc2		49																			assstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										assmon2	asssum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AmaSummon3	569		amadesc3		49																			amastate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										amamon3	amasum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
SorSummon3	570		sordesc3		49																			sorstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										sormon3	sorsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
NecSummon3	571		necdesc3		49																			necstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										necmon3	necsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
PalSummon3	572		paldesc3		49																			palstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										palmon3	palsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
BarSummon3	573		bardesc3		49																			barstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										barmon3	barsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
DruSummon3	574		drudesc3		49																			drustate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										drumon3	drusum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AssSummon3	575		assdesc3		49																			assstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										assmon3	asssum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AmaSummon4	576		amadesc4		49																			amastate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										amamon4	amasum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
SorSummon4	577		sordesc4		49																			sorstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										sormon4	sorsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
NecSummon4	578		necdesc4		49																			necstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										necmon4	necsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
PalSummon4	579		paldesc4		49																			palstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										palmon4	palsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
BarSummon4	580		bardesc4		49																			barstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										barmon4	barsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
DruSummon4	581		drudesc4		49																			drustate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										drumon4	drusum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AssSummon4	582		assdesc4		49																			assstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										assmon4	asssum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AmaSummon5	583		amadesc5		49																			amastate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										amamon5	amasum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
SorSummon5	584		sordesc5		49																			sorstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										sormon5	sorsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
NecSummon5	585		necdesc5		49																			necstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										necmon5	necsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
PalSummon5	586		paldesc5		49																			palstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										palmon5	palsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
BarSummon5	587		bardesc5		49																			barstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										barmon5	barsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
DruSummon5	588		drudesc5		49																			drustate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										drumon5	drusum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AssSummon5	589		assdesc5		49																			assstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										assmon5	asssum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AmaSummon6	590		amadesc6		49																			amastate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										amamon6	amasum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
SorSummon6	591		sordesc6		49																			sorstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										sormon6	sorsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
NecSummon6	592		necdesc6		49																			necstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										necmon6	necsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
PalSummon6	593		paldesc6		49																			palstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										palmon6	palsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
BarSummon6	594		bardesc6		49																			barstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										barmon6	barsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
