description	*Category	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Reroll Unique		1				100	15	419	5		3	Z01	Arioc's Needle	isc					useitem	99			JB-Rare			-5	-5																					Arioc's Needle	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Rock Piercer	isc					useitem	99			JB-Rare			-5	-5																					Rock Piercer	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Viperfork	isc					useitem	99			JB-Rare			-5	-5																					Viperfork	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Flash Forward	isc					useitem	99			JB-Rare			-5	-5																					Flash Forward	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Steelpillar	isc					useitem	99			JB-Rare			-5	-5																					Steelpillar	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Bonehew	isc					useitem	99			JB-Rare			-5	-5																					Bonehew	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tundra Tamer	isc					useitem	99			JB-Rare			-5	-5																					Tundra Tamer	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Reaper's Toll	isc					useitem	99			JB-Rare			-5	-5																					The Reaper's Toll	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tomb Reaver	isc					useitem	99			JB-Rare			-5	-5																					Tomb Reaver	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Wind Shatter	isc					useitem	99			JB-Rare			-5	-5																					Wind Shatter	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Stormspire	isc					useitem	99			JB-Rare			-5	-5																					Stormspire	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Natures Intention	isc					useitem	99			JB-Rare			-5	-5																					Natures Intention	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Thermite Quicksand	isc					useitem	99			JB-Rare			-5	-5																					Thermite Quicksand	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Ondal's Wisdom	isc					useitem	99			JB-Rare			-5	-5																					Ondal's Wisdom	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Stone Crusher	isc					useitem	99			JB-Rare			-5	-5																					Stone Crusher	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Mang Song's Lesson	isc					useitem	99			JB-Rare			-5	-5																					Mang Song's Lesson	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Cold Crow's Caw	isc					useitem	99			JB-Rare			-5	-5																					Cold Crow's Caw	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Trembling Vortex	isc					useitem	99			JB-Rare			-5	-5																					Trembling Vortex	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Corrupted String	isc					useitem	99			JB-Rare			-5	-5																					Corrupted String	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Gyro Blaster	isc					useitem	99			JB-Rare			-5	-5																					Gyro Blaster	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Underground	isc					useitem	99			JB-Rare			-5	-5																					Underground	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Eaglehorn	isc					useitem	99			JB-Rare			-5	-5																					Eaglehorn	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Widowmaker	isc					useitem	99			JB-Rare			-5	-5																					Widowmaker	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Windforce	isc					useitem	99			JB-Rare			-5	-5																					Windforce	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Philios Prophecy	isc					useitem	99			JB-Rare			-5	-5																					Philios Prophecy	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Amnestys Glare	isc					useitem	99			JB-Rare			-5	-5																					Amnestys Glare	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Hellrack	isc					useitem	99			JB-Rare			-5	-5																					Hellrack	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Gutsiphon	isc					useitem	99			JB-Rare			-5	-5																					Gutsiphon	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Enlightener	isc					useitem	99			JB-Rare			-5	-5																					Enlightener	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Endothermic Stone	isc					useitem	99			JB-Rare			-5	-5																					Endothermic Stone	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Sensor	isc					useitem	99			JB-Rare			-5	-5																					Sensor	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Lightning Rod	isc					useitem	99			JB-Rare			-5	-5																					Lightning Rod	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Energizer	isc					useitem	99			JB-Rare			-5	-5																					Energizer	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Artemis String	isc					useitem	99			JB-Rare			-5	-5																					The Artemis String	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Pinaka	isc					useitem	99			JB-Rare			-5	-5																					Pinaka	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Pain Producer	isc					useitem	99			JB-Rare			-5	-5																					The Pain Producer	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Poking Pike	isc					useitem	99			JB-Rare			-5	-5																					The Poking Pike	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Skovos Striker	isc					useitem	99			JB-Rare			-5	-5																					Skovos Striker	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Risen Phoenix	isc					useitem	99			JB-Rare			-5	-5																					Risen Phoenix	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Glacial Oasis	isc					useitem	99			JB-Rare			-5	-5																					Glacial Oasis	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Thunderous	isc					useitem	99			JB-Rare			-5	-5																					Thunderous	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Magic	isc					useitem	99			JB-Rare			-5	-5																					Magic	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Oculus	isc					useitem	99			JB-Rare			-5	-5																					The Oculus	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Windraven	isc					useitem	99			JB-Rare			-5	-5																					Windraven	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Lycander's Aim	isc					useitem	99			JB-Rare			-5	-5																					Lycander's Aim	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Titan's Revenge	isc					useitem	99			JB-Rare			-5	-5																					Titan's Revenge	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Lycander's Flank	isc					useitem	99			JB-Rare			-5	-5																					Lycander's Flank	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Above All	isc					useitem	99			JB-Rare			-5	-5																					Above All	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Eschuta's Temper	isc					useitem	99			JB-Rare			-5	-5																					Eschuta's Temper	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Belphegor's Beating	isc					useitem	99			JB-Rare			-5	-5																					Belphegor's Beating	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tempest Firey	isc					useitem	99			JB-Rare			-5	-5																					Tempest Firey	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Death's Fathom	isc					useitem	99			JB-Rare			-5	-5																					Death's Fathom	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Bloodraven's Charge	isc					useitem	99			JB-Rare			-5	-5																					Bloodraven's Charge	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Shredwind Hell	isc					useitem	99			JB-Rare			-5	-5																					Shredwind Hell	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Thunderstroke	isc					useitem	99			JB-Rare			-5	-5																					Thunderstroke	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Stoneraven	isc					useitem	99			JB-Rare			-5	-5																					Stoneraven	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Hydra Master	isc					useitem	99			JB-Rare			-5	-5																					Hydra Master	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tommy's Enlightener	isc					useitem	99			JB-Rare			-5	-5																					Tommy's Enlightener	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Spencer's Dispenser	isc					useitem	99			JB-Rare			-5	-5																					Spencer's Dispenser	99																												isc																													0
																																																																																																										0
Reroll Unique		1				100	15	419	5		3	Z01	Biggin's Bonnet	isc					useitem	99			JB-Rare			-5	-5																					Biggin's Bonnet	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tarnhelm	isc					useitem	99			JB-Rare			-5	-5																					Tarnhelm	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Coif of Glory	isc					useitem	99			JB-Rare			-5	-5																					Coif of Glory	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Duskdeep	isc					useitem	99			JB-Rare			-5	-5																					Duskdeep	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Howltusk	isc					useitem	99			JB-Rare			-5	-5																					Howltusk	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Undead Crown	isc					useitem	99			JB-Rare			-5	-5																					Undead Crown	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Face of Horror	isc					useitem	99			JB-Rare			-5	-5																					The Face of Horror	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Greyform	isc					useitem	99			JB-Rare			-5	-5																					Greyform	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Blinkbats Form	isc					useitem	99			JB-Rare			-5	-5																					Blinkbats Form	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Centurion	isc					useitem	99			JB-Rare			-5	-5																					The Centurion	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Twitchthroe	isc					useitem	99			JB-Rare			-5	-5																					Twitchthroe	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Darkglow	isc					useitem	99			JB-Rare			-5	-5																					Darkglow	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Hawkmail	isc					useitem	99			JB-Rare			-5	-5																					Hawkmail	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Sparking Mail	isc					useitem	99			JB-Rare			-5	-5																					Sparking Mail	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Venomsward	isc					useitem	99			JB-Rare			-5	-5																					Venomsward	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Iceblink	isc					useitem	99			JB-Rare			-5	-5																					Iceblink	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Boneflesh	isc					useitem	99			JB-Rare			-5	-5																					Boneflesh	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Rockfleece	isc					useitem	99			JB-Rare			-5	-5																					Rockfleece	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Rattlecage	isc					useitem	99			JB-Rare			-5	-5																					Rattlecage	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Goldskin	isc					useitem	99			JB-Rare			-5	-5																					Goldskin	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Victors Silk	isc					useitem	99			JB-Rare			-5	-5																					Victors Silk	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Heavenly Garb	isc					useitem	99			JB-Rare			-5	-5																					Heavenly Garb	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Pelta Lunata	isc					useitem	99			JB-Rare			-5	-5																					Pelta Lunata	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Umbral Disk	isc					useitem	99			JB-Rare			-5	-5																					Umbral Disk	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Stormguild	isc					useitem	99			JB-Rare			-5	-5																					Stormguild	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Steelclash	isc					useitem	99			JB-Rare			-5	-5																					Steelclash	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Bverrit Keep	isc					useitem	99			JB-Rare			-5	-5																					Bverrit Keep	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Ward	isc					useitem	99			JB-Rare			-5	-5																					The Ward	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Hand of Broc	isc					useitem	99			JB-Rare			-5	-5																					The Hand of Broc	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Bloodfist	isc					useitem	99			JB-Rare			-5	-5																					Bloodfist	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Chance Guards	isc					useitem	99			JB-Rare			-5	-5																					Chance Guards	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	tgl,uni	isc					useitem	99			JB-Rare			-5	-5																					tgl,uni	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Frostburn	isc					useitem	99			JB-Rare			-5	-5																					Frostburn	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Hotspur	isc					useitem	99			JB-Rare			-5	-5																					Hotspur	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Gorefoot	isc					useitem	99			JB-Rare			-5	-5																					Gorefoot	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Treads of Cthon	isc					useitem	99			JB-Rare			-5	-5																					Treads of Cthon	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Goblin Toe	isc					useitem	99			JB-Rare			-5	-5																					Goblin Toe	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tearhaunch	isc					useitem	99			JB-Rare			-5	-5																					Tearhaunch	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Lenyms Cord	isc					useitem	99			JB-Rare			-5	-5																					Lenyms Cord	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Snakecord	isc					useitem	99			JB-Rare			-5	-5																					Snakecord	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Nightsmoke	isc					useitem	99			JB-Rare			-5	-5																					Nightsmoke	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Goldwrap	isc					useitem	99			JB-Rare			-5	-5																					Goldwrap	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Bladebuckle	isc					useitem	99			JB-Rare			-5	-5																					Bladebuckle	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Wormskull	isc					useitem	99			JB-Rare			-5	-5																					Wormskull	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Wall of the Eyeless	isc					useitem	99			JB-Rare			-5	-5																					Wall of the Eyeless	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Swordback Hold	isc					useitem	99			JB-Rare			-5	-5																					Swordback Hold	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Peasent Crown	isc					useitem	99			JB-Rare			-5	-5																					Peasent Crown	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Rockstopper	isc					useitem	99			JB-Rare			-5	-5																					Rockstopper	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Stealskull	isc					useitem	99			JB-Rare			-5	-5																					Stealskull	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Darksight Helm	isc					useitem	99			JB-Rare			-5	-5																					Darksight Helm	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Valkyrie Wing	isc					useitem	99			JB-Rare			-5	-5																					Valkyrie Wing	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Crown of Thieves	isc					useitem	99			JB-Rare			-5	-5																					Crown of Thieves	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Blackhorn's Face	isc					useitem	99			JB-Rare			-5	-5																					Blackhorn's Face	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	The Spirit Shroud	isc					useitem	99			JB-Rare			-5	-5																					The Spirit Shroud	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Skin of the Vipermagi	isc					useitem	99			JB-Rare			-5	-5																					Skin of the Vipermagi	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Skin of the Flayerd One	isc					useitem	99			JB-Rare			-5	-5																					Skin of the Flayerd One	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Ironpelt	isc					useitem	99			JB-Rare			-5	-5																					Ironpelt	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Spiritforge	isc					useitem	99			JB-Rare			-5	-5																					Spiritforge	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Crow Caw	isc					useitem	99			JB-Rare			-5	-5																					Crow Caw	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Shaftstop	isc					useitem	99			JB-Rare			-5	-5																					Shaftstop	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Duriel's Shell	isc					useitem	99			JB-Rare			-5	-5																					Duriel's Shell	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Skullder's Ire	isc					useitem	99			JB-Rare			-5	-5																					Skullder's Ire	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Guardian Angel	isc					useitem	99			JB-Rare			-5	-5																					Guardian Angel	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Toothrow	isc					useitem	99			JB-Rare			-5	-5																					Toothrow	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Atma's Wail	isc					useitem	99			JB-Rare			-5	-5																					Atma's Wail	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Black Hades	isc					useitem	99			JB-Rare			-5	-5																					Black Hades	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Corpsemourn	isc					useitem	99			JB-Rare			-5	-5																					Corpsemourn	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Que-Hegan's Wisdon	isc					useitem	99			JB-Rare			-5	-5																					Que-Hegan's Wisdon	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Visceratuant	isc					useitem	99			JB-Rare			-5	-5																					Visceratuant	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Mosers Blessed Circle	isc					useitem	99			JB-Rare			-5	-5																					Mosers Blessed Circle	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Stormchaser	isc					useitem	99			JB-Rare			-5	-5																					Stormchaser	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tiamat's Rebuke	isc					useitem	99			JB-Rare			-5	-5																					Tiamat's Rebuke	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Kerke's Sanctuary	isc					useitem	99			JB-Rare			-5	-5																					Kerke's Sanctuary	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Radimant's Sphere	isc					useitem	99			JB-Rare			-5	-5																					Radimant's Sphere	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Venom Grip	isc					useitem	99			JB-Rare			-5	-5																					Venom Grip	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Gravepalm	isc					useitem	99			JB-Rare			-5	-5																					Gravepalm	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Ghoulhide	isc					useitem	99			JB-Rare			-5	-5																					Ghoulhide	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Lavagout	isc					useitem	99			JB-Rare			-5	-5																					Lavagout	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Hellmouth	isc					useitem	99			JB-Rare			-5	-5																					Hellmouth	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Infernostride	isc					useitem	99			JB-Rare			-5	-5																					Infernostride	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Waterwalk	isc					useitem	99			JB-Rare			-5	-5																					Waterwalk	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Silkweave	isc					useitem	99			JB-Rare			-5	-5																					Silkweave	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Wartraveler	isc					useitem	99			JB-Rare			-5	-5																					Wartraveler	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Gorerider	isc					useitem	99			JB-Rare			-5	-5																					Gorerider	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	String of Ears	isc					useitem	99			JB-Rare			-5	-5																					String of Ears	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Razortail	isc					useitem	99			JB-Rare			-5	-5																					Razortail	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Gloomstrap	isc					useitem	99			JB-Rare			-5	-5																					Gloomstrap	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Snowclash	isc					useitem	99			JB-Rare			-5	-5																					Snowclash	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Thudergod's Vigor	isc					useitem	99			JB-Rare			-5	-5																					Thudergod's Vigor	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Vampiregaze	isc					useitem	99			JB-Rare			-5	-5																					Vampiregaze	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Lidless Wall	isc					useitem	99			JB-Rare			-5	-5																					Lidless Wall	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Lance Guard	isc					useitem	99			JB-Rare			-5	-5																					Lance Guard	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Primal Power	isc					useitem	99			JB-Rare			-5	-5																					Primal Power	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Murder of Crows	isc					useitem	99			JB-Rare			-5	-5																					Murder of Crows	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Cheetah Stance	isc					useitem	99			JB-Rare			-5	-5																					Cheetah Stance	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Uproar	isc					useitem	99			JB-Rare			-5	-5																					Uproar	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Flame Spirit	isc					useitem	99			JB-Rare			-5	-5																					Flame Spirit	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Toothless Maw	isc					useitem	99			JB-Rare			-5	-5																					Toothless Maw	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Darkfear	isc					useitem	99			JB-Rare			-5	-5																					Darkfear	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Thermal Shock	isc					useitem	99			JB-Rare			-5	-5																					Thermal Shock	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Nature's Protector	isc					useitem	99			JB-Rare			-5	-5																					Nature's Protector	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Reckless Fury	isc					useitem	99			JB-Rare			-5	-5																					Reckless Fury	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Sigurd's Staunch	isc					useitem	99			JB-Rare			-5	-5																					Sigurd's Staunch	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Caster's Courage	isc					useitem	99			JB-Rare			-5	-5																					Caster's Courage	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Briar Patch	isc					useitem	99			JB-Rare			-5	-5																					Briar Patch	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Ricochet	isc					useitem	99			JB-Rare			-5	-5																					Ricochet	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Favored Path	isc					useitem	99			JB-Rare			-5	-5																					Favored Path	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Old Friend	isc					useitem	99			JB-Rare			-5	-5																					Old Friend	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Decomposed Leader	isc					useitem	99			JB-Rare			-5	-5																					Decomposed Leader	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tangled Fellow	isc					useitem	99			JB-Rare			-5	-5																					Tangled Fellow	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Stubborn Stone	isc					useitem	99			JB-Rare			-5	-5																					Stubborn Stone	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Spiked Dreamcatcher	isc					useitem	99			JB-Rare			-5	-5																					Spiked Dreamcatcher	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Journeyman's Band	isc					useitem	99			JB-Rare			-5	-5																					Journeyman's Band	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Hygieia's Purity	isc					useitem	99			JB-Rare			-5	-5																					Hygieia's Purity	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Kira's Guardian	isc					useitem	99			JB-Rare			-5	-5																					Kira's Guardian	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Griffon's Eye	isc					useitem	99			JB-Rare			-5	-5																					Griffon's Eye	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Harlequin Crest	isc					useitem	99			JB-Rare			-5	-5																					Harlequin Crest	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tarnhelm's Revenge	isc					useitem	99			JB-Rare			-5	-5																					Tarnhelm's Revenge	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Steelshade	isc					useitem	99			JB-Rare			-5	-5																					Steelshade	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Veil of Steel	isc					useitem	99			JB-Rare			-5	-5																					Veil of Steel	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Nightwing's Veil	isc					useitem	99			JB-Rare			-5	-5																					Nightwing's Veil	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Crown of Ages	isc					useitem	99			JB-Rare			-5	-5																					Crown of Ages	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Andariel's Visage	isc					useitem	99			JB-Rare			-5	-5																					Andariel's Visage	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Ormus' Robes	isc					useitem	99			JB-Rare			-5	-5																					Ormus' Robes	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Arcane Protector	isc					useitem	99			JB-Rare			-5	-5																					Arcane Protector	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Spell Splitter	isc					useitem	99			JB-Rare			-5	-5																					Spell Splitter	99																												isc																													0
