Treasure Class	*MobType	*MobLvl	*Act	firstLadderSeason	lastLadderSeason	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
wraith4(H)	undead	80	2					1						Act 2 (H) Wraith C	1																								0
wraith4c(H)	undead	80	2					1						Act 2 (H) Champ C	1																								0
wraith4u(H)	undead	80	2					1						Act 2 (H) Unique C	1																								0
baboon1	natural	18	2					1						Act 2 H2H B	1																								0
baboon1c	natural	18	2					1						Act 2 Champ B	1																								0
baboon1u	natural	18	2					1						Act 2 Unique B	1																								0
baboon1(N)	natural	47	2					1						Act 2 (N) H2H B	1																								0
baboon1c(N)	natural	47	2					1						Act 2 (N) Champ B	1																								0
baboon1u(N)	natural	47	2					1						Act 2 (N) Unique B	1																								0
baboon1(H)	natural	78	2					1						Act 2 (H) H2H B	1																								0
baboon1c(H)	natural	78	2					1						Act 2 (H) Champ B	1																								0
baboon1u(H)	natural	78	2					1						Act 2 (H) Unique B	1																								0
baboon2	natural	18	2					1						Act 2 H2H B	1																								0
baboon2c	natural	18	2					1						Act 2 Champ B	1																								0
baboon2u	natural	18	2					1						Act 2 Unique B	1																								0
baboon2(N)	natural	55	2					1						Act 2 (N) H2H B	1																								0
baboon2c(N)	natural	55	2					1						Act 2 (N) Champ B	1																								0
baboon2u(N)	natural	55	2					1						Act 2 (N) Unique B	1																								0
baboon2(H)	natural	83	2					1						Act 2 (H) H2H B	1																								0
baboon2c(H)	natural	83	2					1						Act 2 (H) Champ B	1																								0
baboon2u(H)	natural	83	2					1						Act 2 (H) Unique B	1																								0
goatman4	demon	19	2					1						Act 2 H2H C	1																								0
goatman4c	demon	19	2					1						Act 2 Champ C	1																								0
goatman4u	demon	19	2					1						Act 2 Unique C	1																								0
goatman4(N)	demon	48	2					1						Act 2 (N) H2H C	1																								0
goatman4c(N)	demon	48	2					1						Act 2 (N) Champ C	1																								0
goatman4u(N)	demon	48	2					1						Act 2 (N) Unique C	1																								0
goatman4(H)	demon	79	2					1						Act 2 (H) H2H C	1																								0
goatman4c(H)	demon	79	2					1						Act 2 (H) Champ C	1																								0
goatman4u(H)	demon	79	2					1						Act 2 (H) Unique C	1																								0
sandmaggot1	natural	16	2					1						Act 2 H2H A	1																								0
sandmaggot1c	natural	16	2					1						Act 2 Champ A	1																								0
sandmaggot1u	natural	16	2					1						Act 2 Unique A	1																								0
sandmaggot1(N)	natural	45	2					1						Act 2 (N) H2H A	1																								0
sandmaggot1c(N)	natural	45	2					1						Act 2 (N) Champ A	1																								0
sandmaggot1u(N)	natural	45	2					1						Act 2 (N) Unique A	1																								0
sandmaggot1(H)	natural	76	2					1						Act 2 (H) H2H A	1																								0
sandmaggot1c(H)	natural	76	2					1						Act 2 (H) Champ A	1																								0
sandmaggot1u(H)	natural	76	2					1						Act 2 (H) Unique A	1																								0
sandmaggot2	natural	17	2					1						Act 2 H2H A	1																								0
sandmaggot2c	natural	17	2					1						Act 2 Champ A	1																								0
sandmaggot2u	natural	17	2					1						Act 2 Unique A	1																								0
sandmaggot2(N)	natural	45	2					1						Act 2 (N) H2H A	1																								0
sandmaggot2c(N)	natural	45	2					1						Act 2 (N) Champ A	1																								0
sandmaggot2u(N)	natural	45	2					1						Act 2 (N) Unique A	1																								0
sandmaggot2(H)	natural	84	2					1						Act 2 (H) H2H A	1																								0
sandmaggot2c(H)	natural	84	2					1						Act 2 (H) Champ A	1																								0
sandmaggot2u(H)	natural	84	2					1						Act 2 (H) Unique A	1																								0
sandmaggot3	natural	19	2					1						Act 2 H2H B	1																								0
sandmaggot3c	natural	19	2					1						Act 2 Champ B	1																								0
sandmaggot3u	natural	19	2					1						Act 2 Unique B	1																								0
sandmaggot3(N)	natural	48	2					1						Act 2 (N) H2H B	1																								0
sandmaggot3c(N)	natural	48	2					1						Act 2 (N) Champ B	1																								0
sandmaggot3u(N)	natural	48	2					1						Act 2 (N) Unique B	1																								0
sandmaggot3(H)	natural	79	2					1						Act 2 (H) H2H B	1																								0
sandmaggot3c(H)	natural	79	2					1						Act 2 (H) Champ B	1																								0
sandmaggot3u(H)	natural	79	2					1						Act 2 (H) Unique B	1																								0
sandmaggot4	natural	21	2					1						Act 2 H2H C	1																								0
sandmaggot4c	natural	21	2					1						Act 2 Champ C	1																								0
sandmaggot4u	natural	21	2					1						Act 2 Unique C	1																								0
sandmaggot4(N)	natural	50	2					1						Act 2 (N) H2H C	1																								0
sandmaggot4c(N)	natural	50	2					1						Act 2 (N) Champ C	1																								0
sandmaggot4u(N)	natural	50	2					1						Act 2 (N) Unique C	1																								0
sandmaggot4(H)	natural	79	2					1						Act 2 (H) H2H C	1																								0
sandmaggot4c(H)	natural	79	2					1						Act 2 (H) Champ C	1																								0
sandmaggot4u(H)	natural	79	2					1						Act 2 (H) Unique C	1																								0
clawviper2	natural	15	2					1						Act 2 H2H A	1																								0
clawviper2c	natural	15	2					1						Act 2 Champ A	1																								0
clawviper2u	natural	15	2					1						Act 2 Unique A	1																								0
clawviper2(N)	natural	45	2					1						Act 2 (N) H2H A	1																								0
clawviper2c(N)	natural	45	2					1						Act 2 (N) Champ A	1																								0
clawviper2u(N)	natural	45	2					1						Act 2 (N) Unique A	1																								0
clawviper2(H)	natural	76	2					1						Act 2 (H) H2H A	1																								0
clawviper2c(H)	natural	76	2					1						Act 2 (H) Champ A	1																								0
clawviper2u(H)	natural	76	2					1						Act 2 (H) Unique A	1																								0
clawviper3	natural	18	2					1						Act 2 H2H B	1																								0
clawviper3c	natural	18	2					1						Act 2 Champ B	1																								0
clawviper3u	natural	18	2					1						Act 2 Unique B	1																								0
clawviper3(N)	natural	46	2					1						Act 2 (N) H2H B	1																								0
clawviper3c(N)	natural	46	2					1						Act 2 (N) Champ B	1																								0
clawviper3u(N)	natural	46	2					1						Act 2 (N) Unique B	1																								0
clawviper3(H)	natural	77	2					1						Act 2 (H) H2H B	1																								0
clawviper3c(H)	natural	77	2					1						Act 2 (H) Champ B	1																								0
clawviper3u(H)	natural	77	2					1						Act 2 (H) Unique B	1																								0
sandleaper1	natural	14	2					1						Act 2 H2H A	1																								0
sandleaper1c	natural	14	2					1						Act 2 Champ A	1																								0
sandleaper1u	natural	14	2					1						Act 2 Unique A	1																								0
sandleaper1(N)	natural	43	2					1						Act 2 (N) H2H A	1																								0
sandleaper1c(N)	natural	43	2					1						Act 2 (N) Champ A	1																								0
sandleaper1u(N)	natural	43	2					1						Act 2 (N) Unique A	1																								0
sandleaper1(H)	natural	75	2					1						Act 2 (H) H2H A	1																								0
sandleaper1c(H)	natural	75	2					1						Act 2 (H) Champ A	1																								0
sandleaper1u(H)	natural	75	2					1						Act 2 (H) Unique A	1																								0
sandleaper2	natural	15	2					1						Act 2 H2H A	1																								0
sandleaper2c	natural	15	2					1						Act 2 Champ A	1																								0
sandleaper2u	natural	15	2					1						Act 2 Unique A	1																								0
sandleaper2(N)	natural	44	2					1						Act 2 (N) H2H A	1																								0
sandleaper2c(N)	natural	44	2					1						Act 2 (N) Champ A	1																								0
sandleaper2u(N)	natural	44	2					1						Act 2 (N) Unique A	1																								0
sandleaper2(H)	natural	76	2					1						Act 2 (H) H2H A	1																								0
sandleaper2c(H)	natural	76	2					1						Act 2 (H) Champ A	1																								0
sandleaper2u(H)	natural	76	2					1						Act 2 (H) Unique A	1																								0
sandleaper3	natural	17	2					1						Act 2 H2H B	1																								0
sandleaper3c	natural	17	2					1						Act 2 Champ B	1																								0
sandleaper3u	natural	17	2					1						Act 2 Unique B	1																								0
sandleaper3(N)	natural	46	2					1						Act 2 (N) H2H B	1																								0
sandleaper3c(N)	natural	46	2					1						Act 2 (N) Champ B	1																								0
sandleaper3u(N)	natural	46	2					1						Act 2 (N) Unique B	1																								0
sandleaper3(H)	natural	77	2					1						Act 2 (H) H2H B	1																								0
sandleaper3c(H)	natural	77	2					1						Act 2 (H) Champ B	1																								0
sandleaper3u(H)	natural	77	2					1						Act 2 (H) Unique B	1																								0
pantherwoman1	humanoid	14	2					1						Act 2 H2H A	1																								0
pantherwoman1c	humanoid	14	2					1						Act 2 Champ A	1																								0
pantherwoman1u	humanoid	14	2					1						Act 2 Unique A	1																								0
pantherwoman1(N)	humanoid	43	2					1						Act 2 (N) H2H A	1																								0
pantherwoman1c(N)	humanoid	43	2					1						Act 2 (N) Champ A	1																								0
pantherwoman1u(N)	humanoid	43	2					1						Act 2 (N) Unique A	1																								0
pantherwoman1(H)	humanoid	75	2					1						Act 2 (H) H2H A	1																								0
pantherwoman1c(H)	humanoid	75	2					1						Act 2 (H) Champ A	1																								0
pantherwoman1u(H)	humanoid	75	2					1						Act 2 (H) Unique A	1																								0
pantherwoman2	humanoid	15	2					1						Act 2 H2H A	1																								0
pantherwoman2c	humanoid	15	2					1						Act 2 Champ A	1																								0
pantherwoman2u	humanoid	15	2					1						Act 2 Unique A	1																								0
pantherwoman2(N)	humanoid	44	2					1						Act 2 (N) H2H A	1																								0
pantherwoman2c(N)	humanoid	44	2					1						Act 2 (N) Champ A	1																								0
pantherwoman2u(N)	humanoid	44	2					1						Act 2 (N) Unique A	1																								0
pantherwoman2(H)	humanoid	76	2					1						Act 2 (H) H2H A	1																								0
pantherwoman2c(H)	humanoid	76	2					1						Act 2 (H) Champ A	1																								0
pantherwoman2u(H)	humanoid	76	2					1						Act 2 (H) Unique A	1																								0
pantherwoman3	humanoid	17	2					1						Act 2 H2H B	1																								0
pantherwoman3c	humanoid	17	2					1						Act 2 Champ B	1																								0
pantherwoman3u	humanoid	17	2					1						Act 2 Unique B	1																								0
pantherwoman3(N)	humanoid	46	2					1						Act 2 (N) H2H B	1																								0
pantherwoman3c(N)	humanoid	46	2					1						Act 2 (N) Champ B	1																								0
pantherwoman3u(N)	humanoid	46	2					1						Act 2 (N) Unique B	1																								0
pantherwoman3(H)	humanoid	77	2					1						Act 2 (H) H2H B	1																								0
pantherwoman3c(H)	humanoid	77	2					1						Act 2 (H) Champ B	1																								0
pantherwoman3u(H)	humanoid	77	2					1						Act 2 (H) Unique B	1																								0
pantherwoman4	humanoid	19	2					1						Act 2 H2H C	1																								0
pantherwoman4c	humanoid	19	2					1						Act 2 Champ C	1																								0
pantherwoman4u	humanoid	19	2					1						Act 2 Unique C	1																								0
pantherwoman4(N)	humanoid	48	2					1						Act 2 (N) H2H C	1																								0
pantherwoman4c(N)	humanoid	48	2					1						Act 2 (N) Champ C	1																								0
pantherwoman4u(N)	humanoid	48	2					1						Act 2 (N) Unique C	1																								0
pantherwoman4(H)	humanoid	79	2					1						Act 2 (H) H2H C	1																								0
pantherwoman4c(H)	humanoid	79	2					1						Act 2 (H) Champ C	1																								0
pantherwoman4u(H)	humanoid	79	2					1						Act 2 (H) Unique C	1																								0
swarm1	natural	16	2					1						Swarm 1	1																								0
swarm1c	natural	16	2					1						Act 2 Champ B	1																								0
swarm1u	natural	16	2					1						Act 2 Unique B	1																								0
swarm1(N)	natural	45	2					1						Swarm 1 (N)	1																								0
swarm1c(N)	natural	45	2					1						Act 2 (N) Champ B	1																								0
swarm1u(N)	natural	45	2					1						Act 2 (N) Unique B	1																								0
swarm1(H)	natural	76	2					1						Swarm 1 (H)	1																								0
swarm1c(H)	natural	76	2					1						Act 2 (H) Champ B	1																								0
swarm1u(H)	natural	76	2					1						Act 2 (H) Unique B	1																								0
swarm2	natural	17	2					1						Swarm 1	1																								0
swarm2c	natural	17	2					1						Act 2 Champ B	1																								0
swarm2u	natural	17	2					1						Act 2 Unique B	1																								0
swarm2(N)	natural	45	2					1						Swarm 1 (N)	1																								0
swarm2c(N)	natural	45	2					1						Act 2 (N) Champ B	1																								0
swarm2u(N)	natural	45	2					1						Act 2 (N) Unique B	1																								0
swarm2(H)	natural	84	2					1						Swarm 1 (H)	1																								0
swarm2c(H)	natural	84	2					1						Act 2 (H) Champ B	1																								0
swarm2u(H)	natural	84	2					1						Act 2 (H) Unique B	1																								0
scarab1	natural	14	2					1						Act 2 H2H A	1																								0
scarab1c	natural	14	2					1						Act 2 Champ A	1																								0
scarab1u	natural	14	2					1						Act 2 Unique A	1																								0
scarab1(N)	natural	43	2					1						Act 2 (N) H2H A	1																								0
scarab1c(N)	natural	43	2					1						Act 2 (N) Champ A	1																								0
scarab1u(N)	natural	43	2					1						Act 2 (N) Unique A	1																								0
scarab1(H)	natural	75	2					1						Act 2 (H) H2H A	1																								0
scarab1c(H)	natural	75	2					1						Act 2 (H) Champ A	1																								0
scarab1u(H)	natural	75	2					1						Act 2 (H) Unique A	1																								0
scarab2	natural	16	2					1						Act 2 H2H B	1																								0
scarab2c	natural	16	2					1						Act 2 Champ B	1																								0
scarab2u	natural	16	2					1						Act 2 Unique B	1																								0
scarab2(N)	natural	45	2					1						Act 2 (N) H2H B	1																								0
scarab2c(N)	natural	45	2					1						Act 2 (N) Champ B	1																								0
scarab2u(N)	natural	45	2					1						Act 2 (N) Unique B	1																								0
scarab2(H)	natural	76	2					1						Act 2 (H) H2H B	1																								0
scarab2c(H)	natural	76	2					1						Act 2 (H) Champ B	1																								0
scarab2u(H)	natural	76	2					1						Act 2 (H) Unique B	1																								0
scarab3	natural	17	2					1						Act 2 H2H B	1																								0
scarab3c	natural	17	2					1						Act 2 Champ B	1																								0
scarab3u	natural	17	2					1						Act 2 Unique B	1																								0
scarab3(N)	natural	45	2					1						Act 2 (N) H2H B	1																								0
scarab3c(N)	natural	45	2					1						Act 2 (N) Champ B	1																								0
scarab3u(N)	natural	45	2					1						Act 2 (N) Unique B	1																								0
scarab3(H)	natural	84	2					1						Act 2 (H) H2H B	1																								0
scarab3c(H)	natural	84	2					1						Act 2 (H) Champ B	1																								0
scarab3u(H)	natural	84	2					1						Act 2 (H) Unique B	1																								0
scarab4	natural	19	2					1						Act 2 H2H C	1																								0
scarab4c	natural	19	2					1						Act 2 Champ C	1																								0
scarab4u	natural	19	2					1						Act 2 Unique C	1																								0
scarab4(N)	natural	48	2					1						Act 2 (N) H2H C	1																								0
scarab4c(N)	natural	48	2					1						Act 2 (N) Champ C	1																								0
scarab4u(N)	natural	48	2					1						Act 2 (N) Unique C	1																								0
scarab4(H)	natural	79	2					1						Act 2 (H) H2H C	1																								0
scarab4c(H)	natural	79	2					1						Act 2 (H) Champ C	1																								0
scarab4u(H)	natural	79	2					1						Act 2 (H) Unique C	1																								0
mummy1	undead	13	2					1						Act 2 H2H A	1																								0
mummy1c	undead	13	2					1						Act 2 Champ A	1																								0
mummy1u	undead	13	2					1						Act 2 Unique A	1																								0
mummy1(N)	undead	43	2					1						Act 2 (N) H2H A	1																								0
mummy1c(N)	undead	43	2					1						Act 2 (N) Champ A	1																								0
mummy1u(N)	undead	43	2					1						Act 2 (N) Unique A	1																								0
mummy1(H)	undead	74	2					1						Act 2 (H) H2H A	1																								0
mummy1c(H)	undead	74	2					1						Act 2 (H) Champ A	1																								0
mummy1u(H)	undead	74	2					1						Act 2 (H) Unique A	1																								0
mummy2	undead	15	2					1						Act 2 H2H A	1																								0
mummy2c	undead	15	2					1						Act 2 Champ A	1																								0
mummy2u	undead	15	2					1						Act 2 Unique A	1																								0
mummy2(N)	undead	44	2					1						Act 2 (N) H2H A	1																								0
mummy2c(N)	undead	44	2					1						Act 2 (N) Champ A	1																								0
mummy2u(N)	undead	44	2					1						Act 2 (N) Unique A	1																								0
mummy2(H)	undead	79	2					1						Act 2 (H) H2H A	1																								0
mummy2c(H)	undead	79	2					1						Act 2 (H) Champ A	1																								0
mummy2u(H)	undead	79	2					1						Act 2 (H) Unique A	1																								0
mummy3	undead	18	2					1						Act 2 H2H B	1																								0
mummy3c	undead	18	2					1						Act 2 Champ B	1																								0
mummy3u	undead	18	2					1						Act 2 Unique B	1																								0
mummy3(N)	undead	46	2					1						Act 2 (N) H2H B	1																								0
mummy3c(N)	undead	46	2					1						Act 2 (N) Champ B	1																								0
mummy3u(N)	undead	46	2					1						Act 2 (N) Unique B	1																								0
mummy3(H)	undead	77	2					1						Act 2 (H) H2H B	1																								0
mummy3c(H)	undead	77	2					1						Act 2 (H) Champ B	1																								0
mummy3u(H)	undead	77	2					1						Act 2 (H) Unique B	1																								0
unraveler1	undead	15	2					1						Act 2 Cast A	1																								0
unraveler1c	undead	15	2					1						Act 2 Champ A	1																								0
unraveler1u	undead	15	2					1						Act 2 Unique A	1																								0
unraveler1(N)	undead	44	2					1						Act 2 (N) Cast A	1																								0
unraveler1c(N)	undead	44	2					1						Act 2 (N) Champ A	1																								0
unraveler1u(N)	undead	44	2					1						Act 2 (N) Unique A	1																								0
unraveler1(H)	undead	79	2					1						Act 2 (H) Cast A	1																								0
unraveler1c(H)	undead	79	2					1						Act 2 (H) Champ A	1																								0
unraveler1u(H)	undead	79	2					1						Act 2 (H) Unique A	1																								0
unraveler2	undead	18	2					1						Act 2 Cast B	1																								0
unraveler2c	undead	18	2					1						Act 2 Champ B	1																								0
unraveler2u	undead	18	2					1						Act 2 Unique B	1																								0
unraveler2(N)	undead	46	2					1						Act 2 (N) Cast B	1																								0
unraveler2c(N)	undead	46	2					1						Act 2 (N) Champ B	1																								0
unraveler2u(N)	undead	46	2					1						Act 2 (N) Unique B	1																								0
unraveler2(H)	undead	77	2					1						Act 2 (H) Cast B	1																								0
unraveler2c(H)	undead	77	2					1						Act 2 (H) Champ B	1																								0
unraveler2u(H)	undead	77	2					1						Act 2 (H) Unique B	1																								0
unraveler3	undead	20	2					1						Act 2 Cast C	1																								0
unraveler3c	undead	20	2					1						Act 2 Champ C	1																								0
unraveler3u	undead	20	2					1						Act 2 Unique C	1																								0
unraveler3(N)	undead	49	2					1						Act 2 (N) Cast C	1																								0
unraveler3c(N)	undead	49	2					1						Act 2 (N) Champ C	1																								0
unraveler3u(N)	undead	49	2					1						Act 2 (N) Unique C	1																								0
unraveler3(H)	undead	80	2					1						Act 2 (H) Cast C	1																								0
unraveler3c(H)	undead	80	2					1						Act 2 (H) Champ C	1																								0
unraveler3u(H)	undead	80	2					1						Act 2 (H) Unique C	1																								0
vulture1	natural	14	2					1						Swarm 1	1																								0
vulture1c	natural	14	2					1						Act 2 Champ A	1																								0
vulture1u	natural	14	2					1						Act 2 Unique A	1																								0
vulture1(N)	natural	43	2					1						Swarm 1 (N)	1																								0
vulture1c(N)	natural	43	2					1						Act 2 (N) Champ A	1																								0
vulture1u(N)	natural	43	2					1						Act 2 (N) Unique A	1																								0
vulture1(H)	natural	75	2					1						Swarm 1 (H)	1																								0
vulture1c(H)	natural	75	2					1						Act 2 (H) Champ A	1																								0
vulture1u(H)	natural	75	2					1						Act 2 (H) Unique A	1																								0
vulture2	natural	15	2					1						Swarm 1	1																								0
vulture2c	natural	15	2					1						Act 2 Champ A	1																								0
vulture2u	natural	15	2					1						Act 2 Unique A	1																								0
vulture2(N)	natural	44	2					1						Swarm 1 (N)	1																								0
vulture2c(N)	natural	44	2					1						Act 2 (N) Champ A	1																								0
vulture2u(N)	natural	44	2					1						Act 2 (N) Unique A	1																								0
vulture2(H)	natural	76	2					1						Swarm 1 (H)	1																								0
vulture2c(H)	natural	76	2					1						Act 2 (H) Champ A	1																								0
vulture2u(H)	natural	76	2					1						Act 2 (H) Unique A	1																								0
arach2	natural	15	2					1						Act 2 H2H A	1																								0
arach2c	natural	15	2					1						Act 2 Champ A	1																								0
arach2u	natural	15	2					1						Act 2 Unique A	1																								0
arach2(N)	natural	45	2					1						Act 2 (N) H2H A	1																								0
arach2c(N)	natural	45	2					1						Act 2 (N) Champ A	1																								0
arach2u(N)	natural	45	2					1						Act 2 (N) Unique A	1																								0
arach2(H)	natural	75	2					1						Act 2 (H) H2H A	1																								0
arach2c(H)	natural	75	2					1						Act 2 (H) Champ A	1																								0
arach2u(H)	natural	75	2					1						Act 2 (H) Unique A	1																								0
vampire1	undead	19	2					1						Act 2 Cast C	1																								0
vampire1c	undead	19	2					1						Act 2 Champ C	1																								0
vampire1u	undead	19	2					1						Act 2 Unique C	1																								0
vampire1(N)	undead	49	2					1						Act 2 (N) Cast C	1																								0
vampire1c(N)	undead	49	2					1						Act 2 (N) Champ C	1																								0
vampire1u(N)	undead	49	2					1						Act 2 (N) Unique C	1																								0
vampire1(H)	undead	80	2					1						Act 2 (H) Cast C	1																								0
vampire1c(H)	undead	80	2					1						Act 2 (H) Champ C	1																								0
vampire1u(H)	undead	80	2					1						Act 2 (H) Unique C	1																								0
batdemon1	natural	15	2					1						Act 2 H2H A	1																								0
batdemon1c	natural	15	2					1						Act 2 Champ A	1																								0
batdemon1u	natural	15	2					1						Act 2 Unique A	1																								0
batdemon1(N)	natural	44	2					1						Act 2 (N) H2H A	1																								0
batdemon1c(N)	natural	44	2					1						Act 2 (N) Champ A	1																								0
batdemon1u(N)	natural	44	2					1						Act 2 (N) Unique A	1																								0
batdemon1(H)	natural	79	2					1						Act 2 (H) H2H A	1																								0
batdemon1c(H)	natural	79	2					1						Act 2 (H) Champ A	1																								0
batdemon1u(H)	natural	79	2					1						Act 2 (H) Unique A	1																								0
batdemon2	natural	19	2					1						Act 2 H2H B	1																								0
batdemon2c	natural	19	2					1						Act 2 Champ B	1																								0
batdemon2u	natural	19	2					1						Act 2 Unique B	1																								0
batdemon2(N)	natural	50	2					1						Act 2 (N) H2H B	1																								0
batdemon2c(N)	natural	50	2					1						Act 2 (N) Champ B	1																								0
batdemon2u(N)	natural	50	2					1						Act 2 (N) Unique B	1																								0
batdemon2(H)	natural	79	2					1						Act 2 (H) H2H B	1																								0
batdemon2c(H)	natural	79	2					1						Act 2 (H) Champ B	1																								0
batdemon2u(H)	natural	79	2					1						Act 2 (H) Unique B	1																								0
sk_archer4	undead	13	2					1						Act 2 Miss A	1																								0
sk_archer4c	undead	13	2					1						Act 2 Champ A	1																								0
sk_archer4u	undead	13	2					1						Act 2 Unique A	1																								0
sk_archer4(N)	undead	43	2					1						Act 2 (N) Miss A	1																								0
sk_archer4c(N)	undead	43	2					1						Act 2 (N) Champ A	1																								0
sk_archer4u(N)	undead	43	2					1						Act 2 (N) Unique A	1																								0
sk_archer4(H)	undead	74	2					1						Act 2 (H) Miss A	1																								0
sk_archer4c(H)	undead	74	2					1						Act 2 (H) Champ A	1																								0
sk_archer4u(H)	undead	74	2					1						Act 2 (H) Unique A	1																								0
sk_archer5	undead	18	2					1						Act 2 Miss B	1																								0
sk_archer5c	undead	18	2					1						Act 2 Champ B	1																								0
sk_archer5u	undead	18	2					1						Act 2 Unique B	1																								0
sk_archer5(N)	undead	47	2					1						Act 2 (N) Miss B	1																								0
sk_archer5c(N)	undead	47	2					1						Act 2 (N) Champ B	1																								0
sk_archer5u(N)	undead	47	2					1						Act 2 (N) Unique B	1																								0
sk_archer5(H)	undead	78	2					1						Act 2 (H) Miss B	1																								0
sk_archer5c(H)	undead	78	2					1						Act 2 (H) Champ B	1																								0
sk_archer5u(H)	undead	78	2					1						Act 2 (H) Unique B	1																								0
blunderbore1	demon	18	2					1						Act 2 H2H B	1																								0
blunderbore1c	demon	18	2					1						Act 2 Champ B	1																								0
blunderbore1u	demon	18	2					1						Act 2 Unique B	1																								0
blunderbore1(N)	demon	47	2					1						Act 2 (N) H2H B	1																								0
blunderbore1c(N)	demon	47	2					1						Act 2 (N) Champ B	1																								0
blunderbore1u(N)	demon	47	2					1						Act 2 (N) Unique B	1																								0
blunderbore1(H)	demon	78	2					1						Act 2 (H) H2H B	1																								0
blunderbore1c(H)	demon	78	2					1						Act 2 (H) Champ B	1																								0
blunderbore1u(H)	demon	78	2					1						Act 2 (H) Unique B	1																								0
blunderbore2	demon	20	2					1						Act 2 H2H C	1																								0
blunderbore2c	demon	20	2					1						Act 2 Champ C	1																								0
blunderbore2u	demon	20	2					1						Act 2 Unique C	1																								0
blunderbore2(N)	demon	49	2					1						Act 2 (N) H2H C	1																								0
blunderbore2c(N)	demon	49	2					1						Act 2 (N) Champ C	1																								0
blunderbore2u(N)	demon	49	2					1						Act 2 (N) Unique C	1																								0
blunderbore2(H)	demon	80	2					1						Act 2 (H) H2H C	1																								0
blunderbore2c(H)	demon	80	2					1						Act 2 (H) Champ C	1																								0
blunderbore2u(H)	demon	80	2					1						Act 2 (H) Unique C	1																								0
crownest3	natural	15	2					1						Act 2 Cast A	1																								0
crownest3c	natural	15	2					1						Act 2 Champ A	1																								0
crownest3u	natural	15	2					1						Act 2 Unique A	1																								0
crownest3(N)	natural	45	2					1						Act 2 (N) Cast A	1																								0
crownest3c(N)	natural	45	2					1						Act 2 (N) Champ A	1																								0
crownest3u(N)	natural	45	2					1						Act 2 (N) Unique A	1																								0
crownest3(H)	natural	76	2					1						Act 2 (H) Cast A	1																								0
crownest3c(H)	natural	76	2					1						Act 2 (H) Champ A	1																								0
crownest3u(H)	natural	76	2					1						Act 2 (H) Unique A	1																								0
skmage3	undead	14	2					1						Act 2 Cast A	1																								0
skmage3c	undead	14	2					1						Act 2 Champ A	1																								0
skmage3u	undead	14	2					1						Act 2 Unique A	1																								0
skmage3(N)	undead	44	2					1						Act 2 (N) Cast A	1																								0
skmage3c(N)	undead	44	2					1						Act 2 (N) Champ A	1																								0
skmage3u(N)	undead	44	2					1						Act 2 (N) Unique A	1																								0
skmage3(H)	undead	79	2					1						Act 2 (H) Cast A	1																								0
skmage3c(H)	undead	79	2					1						Act 2 (H) Champ A	1																								0
skmage3u(H)	undead	79	2					1						Act 2 (H) Unique A	1																								0
skmage4	undead	17	2					1						Act 2 Cast B	1																								0
skmage4c	undead	17	2					1						Act 2 Champ B	1																								0
skmage4u	undead	17	2					1						Act 2 Unique B	1																								0
skmage4(N)	undead	47	2					1						Act 2 (N) Cast B	1																								0
skmage4c(N)	undead	47	2					1						Act 2 (N) Champ B	1																								0
skmage4u(N)	undead	47	2					1						Act 2 (N) Unique B	1																								0
skmage4(H)	undead	78	2					1						Act 2 (H) Cast B	1																								0
skmage4c(H)	undead	78	2					1						Act 2 (H) Champ B	1																								0
skmage4u(H)	undead	78	2					1						Act 2 (H) Unique B	1																								0
slinger1	humanoid	14	2					1						Act 2 Miss A	1																								0
slinger1c	humanoid	14	2					1						Act 2 Champ A	1																								0
slinger1u	humanoid	14	2					1						Act 2 Unique A	1																								0
slinger1(N)	humanoid	43	2					1						Act 2 (N) Miss A	1																								0
slinger1c(N)	humanoid	43	2					1						Act 2 (N) Champ A	1																								0
slinger1u(N)	humanoid	43	2					1						Act 2 (N) Unique A	1																								0
slinger1(H)	humanoid	75	2					1						Act 2 (H) Miss A	1																								0
slinger1c(H)	humanoid	75	2					1						Act 2 (H) Champ A	1																								0
slinger1u(H)	humanoid	75	2					1						Act 2 (H) Unique A	1																								0
slinger2	humanoid	15	2					1						Act 2 Miss A	1																								0
slinger2c	humanoid	15	2					1						Act 2 Champ A	1																								0
slinger2u	humanoid	15	2					1						Act 2 Unique A	1																								0
slinger2(N)	humanoid	44	2					1						Act 2 (N) Miss A	1																								0
slinger2c(N)	humanoid	44	2					1						Act 2 (N) Champ A	1																								0
slinger2u(N)	humanoid	44	2					1						Act 2 (N) Unique A	1																								0
slinger2(H)	humanoid	77	2					1						Act 2 (H) Miss A	1																								0
slinger2c(H)	humanoid	77	2					1						Act 2 (H) Champ A	1																								0
slinger2u(H)	humanoid	77	2					1						Act 2 (H) Unique A	1																								0
slinger3	humanoid	17	2					1						Act 2 Miss B	1																								0
slinger3c	humanoid	17	2					1						Act 2 Champ B	1																								0
slinger3u	humanoid	17	2					1						Act 2 Unique B	1																								0
slinger3(N)	humanoid	46	2					1						Act 2 (N) Miss B	1																								0
slinger3c(N)	humanoid	46	2					1						Act 2 (N) Champ B	1																								0
